alpha,acc_mean,acc_std,nrows,ci95_lo,ci95_hi
iid,0.7625528971354166,0.01839137746495759,96,0.7588264577131048,0.7662793365577285
0.3,0.7529771592881945,0.01992403489710066,96,0.7489401746070015,0.7570141439693876
