algo,acc_mean,acc_std,nrows,ci95_lo,ci95_hi
fedavg,0.7642415364583334,0.008657510527382551,48,0.7617276574485681,0.7667554154680987
fedprox,0.7642144097222222,0.008659289849883544,48,0.7617000140510596,0.7667288053933848
fedavgm,0.7623562282986112,0.009919544238602649,48,0.7594758928986148,0.7652365636986075
fedadam,0.7402479383680555,0.03018531647011267,48,0.7314830361207718,0.7490128406153391
