algo,K,frac,alpha,dp_sigma,acc_mean,acc_std,nrows,ci95_lo,ci95_hi
fedavg,50,1.0,0.3,0.01,0.7591145833333334,,1,,
fedprox,50,1.0,0.3,0.01,0.7591145833333334,,1,,
fedprox,50,1.0,0.3,0.1,0.7591145833333334,,1,,
fedavg,50,1.0,0.3,0.1,0.7591145833333334,,1,,
fedprox,50,1.0,0.3,0.0,0.7591145833333334,,1,,
fedavg,50,1.0,0.3,0.0,0.7591145833333334,,1,,
fedavg,50,1.0,0.3,0.05,0.7591145833333333,,1,,
fedavgm,50,1.0,iid,0.05,0.7591145833333333,,1,,
fedprox,50,1.0,0.3,0.05,0.7591145833333333,,1,,
fedavg,50,0.5,0.3,0.05,0.7584635416666667,,1,,
fedprox,50,0.5,0.3,0.05,0.7584635416666667,,1,,
fedavg,50,0.5,0.3,0.0,0.7584635416666667,,1,,
fedprox,50,0.5,0.3,0.0,0.7584635416666667,,1,,
fedprox,50,0.5,0.3,0.1,0.7578125,,1,,
fedavg,50,0.5,0.3,0.1,0.7578125,,1,,
fedavgm,50,1.0,iid,0.1,0.7571614583333334,,1,,
fedprox,10,0.5,0.3,0.1,0.7571614583333333,,1,,
fedprox,50,0.5,0.3,0.01,0.7571614583333333,,1,,
fedavgm,50,1.0,iid,0.0,0.7571614583333333,,1,,
fedavg,50,0.5,0.3,0.01,0.7571614583333333,,1,,
fedavg,10,0.5,0.3,0.1,0.7571614583333333,,1,,
fedavgm,50,0.5,iid,0.01,0.7565104166666667,,1,,
fedprox,20,1.0,0.3,0.01,0.7565104166666667,,1,,
fedavgm,50,1.0,iid,0.01,0.7565104166666667,,1,,
fedavgm,50,1.0,0.3,0.01,0.7565104166666667,,1,,
fedadam,20,0.5,iid,0.0,0.7565104166666667,,1,,
fedavg,20,1.0,0.3,0.01,0.7565104166666667,,1,,
fedavg,20,1.0,0.3,0.0,0.7565104166666666,,1,,
fedprox,20,1.0,0.3,0.0,0.7565104166666666,,1,,
fedavgm,50,1.0,0.3,0.0,0.7565104166666666,,1,,
fedavgm,50,1.0,0.3,0.05,0.755859375,,1,,
fedavgm,50,0.5,0.3,0.01,0.7552083333333334,,1,,
fedadam,20,0.5,0.3,0.0,0.7552083333333334,,1,,
fedavgm,50,0.5,iid,0.0,0.7552083333333334,,1,,
fedavgm,20,0.5,0.3,0.05,0.7552083333333334,,1,,
fedavgm,50,1.0,0.3,0.1,0.7552083333333333,,1,,
fedprox,20,1.0,0.3,0.05,0.7545572916666667,,1,,
fedavgm,50,0.5,0.3,0.1,0.7545572916666666,,1,,
fedavg,20,0.5,0.3,0.0,0.7545572916666666,,1,,
fedprox,20,0.5,0.3,0.0,0.7545572916666666,,1,,
fedavg,20,1.0,0.3,0.05,0.75390625,,1,,
fedavg,20,0.5,0.3,0.01,0.75390625,,1,,
fedavgm,50,0.5,0.3,0.0,0.75390625,,1,,
fedavgm,50,0.5,iid,0.05,0.75390625,,1,,
fedprox,50,0.5,iid,0.05,0.7532552083333334,,1,,
fedprox,20,0.5,0.3,0.01,0.7532552083333334,,1,,
fedavg,50,0.5,iid,0.05,0.7532552083333334,,1,,
fedavgm,20,0.5,0.3,0.01,0.7532552083333333,,1,,
fedprox,20,1.0,0.3,0.1,0.7532552083333333,,1,,
fedavg,20,1.0,0.3,0.1,0.7526041666666667,,1,,
fedavg,20,0.5,0.3,0.05,0.751953125,,1,,
fedavgm,50,0.5,0.3,0.05,0.751953125,,1,,
fedprox,20,0.5,0.3,0.05,0.751953125,,1,,
fedavgm,20,1.0,0.3,0.01,0.751953125,,1,,
fedavgm,20,1.0,0.3,0.0,0.7513020833333334,,1,,
fedavgm,20,1.0,0.3,0.05,0.7506510416666667,,1,,
fedavgm,20,0.5,0.3,0.0,0.7506510416666666,,1,,
fedadam,10,1.0,iid,0.05,0.7506510416666666,,1,,
fedadam,50,0.5,0.3,0.0,0.75,,1,,
fedadam,10,0.5,iid,0.05,0.7493489583333333,,1,,
fedadam,20,1.0,iid,0.05,0.7473958333333333,,1,,
fedavgm,20,0.5,0.3,0.1,0.7467447916666667,,1,,
