K,acc_mean,acc_std,nrows,ci95_lo,ci95_hi
10,0.764129638671875,0.02016867943446291,64,0.759091652446501,0.769167624897249
20,0.7569580078125,0.017384685677514514,64,0.7526154425364554,0.7613005730885446
50,0.7522074381510416,0.019907779708897608,64,0.7472346227380589,0.7571802535640244
