dp_sigma,acc_mean,acc_std,nrows,ci95_lo,ci95_hi
0.01,0.7643636067708334,0.008541928339937128,48,0.7618832893298358,0.7668439242118309
0.0,0.7641737196180555,0.008650856526544563,48,0.7616617727287288,0.7666856665073821
0.05,0.7558458116319445,0.017670735069446743,48,0.7507147650293786,0.7609768582345104
0.1,0.7466769748263888,0.030065199607392974,48,0.7379469508803159,0.7554069987724618
