algo,K,frac,alpha,dp_sigma,acc_mean,vs_baseline_algo,vs_baseline_K,vs_baseline_frac,vs_baseline_alpha,vs_baseline_sigma,baseline_mean,t_stat,p_value
fedprox,20,0.5,iid,0.1,0.775390625,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,10,1.0,iid,0.01,0.775390625,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,10,0.5,iid,0.0,0.775390625,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,50,1.0,iid,0.01,0.7747395833333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,10,0.5,iid,0.01,0.7740885416666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,10,0.5,iid,0.01,0.7740885416666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,10,0.5,0.3,0.05,0.7740885416666666,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,10,0.5,0.3,0.0,0.7734375,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,10,1.0,iid,0.01,0.7734375,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,10,0.5,0.3,0.0,0.7734375,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,20,1.0,iid,0.01,0.7727864583333334,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,10,1.0,iid,0.0,0.7727864583333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,50,0.5,iid,0.0,0.7721354166666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,10,0.5,0.3,0.01,0.771484375,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,10,0.5,0.3,0.01,0.771484375,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,10,1.0,0.3,0.0,0.7708333333333334,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,20,1.0,iid,0.1,0.7708333333333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,20,1.0,iid,0.1,0.7708333333333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,20,1.0,iid,0.0,0.7708333333333333,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,10,1.0,0.3,0.01,0.7701822916666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,10,0.5,iid,0.01,0.7701822916666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,20,1.0,iid,0.05,0.7701822916666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,20,0.5,iid,0.01,0.7701822916666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,20,1.0,iid,0.1,0.7701822916666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedadam,50,1.0,0.3,0.0,0.7701822916666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,20,0.5,iid,0.05,0.7701822916666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,10,1.0,iid,0.0,0.7701822916666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,20,0.5,iid,0.01,0.7701822916666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,10,1.0,iid,0.0,0.7701822916666667,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,20,1.0,iid,0.01,0.76953125,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,20,1.0,iid,0.0,0.76953125,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,10,0.5,0.3,0.0,0.76953125,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,20,1.0,iid,0.01,0.76953125,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,10,0.5,iid,0.0,0.76953125,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,20,1.0,iid,0.0,0.76953125,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavgm,10,1.0,0.3,0.1,0.7688802083333334,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedavg,10,0.5,0.3,0.05,0.7688802083333334,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
fedprox,10,0.5,0.3,0.05,0.7688802083333334,fedprox,10,0.5,iid,0.05,0.7786458333333334,,
